Title,Runtime,Tomato %,Audience %,Drama,History,Mystery & thriller,Horror,Adventure,Kids & family,War,Comedy,Fantasy,Romance,Musical,Western,Documentary,Sci-fi,Lgbtq+,Biography,Action,Crime,Music
Disclosure,0 days 01:40:00,98,86.0,,,,,,,,,,,,,True,,,,,,
Apples,0 days 01:31:00,98,,True,,,,,,,True,,,,,,,,,,,
La llorona,0 days 01:37:00,96,61.0,,,True,,,,,,,,,,,,,,,True,
The Dissident,0 days 01:59:00,96,80.0,,,,,,,,,,,,,True,,,,,,
News of the World,0 days 01:58:00,88,89.0,,,,,True,,,,,,,True,,,,,,,
There Is No Evil,0 days 02:31:00,98,,True,,,,,,,,,,,,,,,,,,
Farewell Amor,0 days 01:41:00,97,71.0,True,,,,,,,,,,,,,,,,,,
Sweat,0 days 01:47:00,98,74.0,True,,,,,,,,,,,,,,,,,,
Fourteen,0 days 01:34:00,98,57.0,True,,,,,,,,,,,,,,,,,,
House of Hummingbird,0 days 02:18:00,98,73.0,True,,,,,,,,,,,,,,,,,,
The Go-Go's,0 days 01:38:00,98,95.0,,,,,,,,,,,,,True,,,,,,True
Make Up,0 days 01:26:00,98,,True,,True,,,,,,,,,,,,,,,,
Fireball: Visitors From Darker Worlds,0 days 01:37:00,98,61.0,,,,,,,,,,,,,True,,,,,,
On the Rocks,0 days 01:36:00,87,50.0,,,,,,,,True,,,,,,,,,,,
The Last Tree,0 days 01:40:00,98,65.0,True,,,,,,,,,,,,,,,,,,
Babyteeth,0 days 01:57:00,93,85.0,True,,,,,,,True,,,,,,,,,,,
The Human Voice,0 days 00:30:00,97,69.0,True,,,,,,,,,,,,,,,,,,
Spontaneous,0 days 01:42:00,97,66.0,,,,True,,,,True,,,,,,,,,,,
Rocks,0 days 01:33:00,97,78.0,True,,,,,,,,,,,,,,,,,,
Assassins,0 days 01:44:00,98,83.0,,,,,,,,,,,,,True,,,True,,,
The Boy Behind the Door,0 days 01:28:00,97,67.0,,,True,True,,,,,,,,,,,,,,,
A Shaun the Sheep Movie: Farmageddon,0 days 01:27:00,96,80.0,,,,,True,,,True,,,,,,,,,,,
Kajillionaire,0 days 01:44:00,90,47.0,True,,,,,,,True,,,,,,,,,,,
Just Mercy,0 days 02:16:00,85,99.0,True,,,,,,,,,,,,,,,,,,
Zappa,0 days 02:09:00,96,79.0,,,,,,,,,,,,,True,,,True,,,
Slaxx,0 days 01:17:00,96,45.0,,,,True,,,,True,,,,,,,,,,,
Borat Subsequent Moviefilm,0 days 01:36:00,85,62.0,,,,,,,,True,,,,,,,,,,,
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),0 days 01:49:00,79,78.0,,,,,,,,True,,,,,,,,,True,,
Love and Monsters,0 days 01:49:00,94,89.0,,,,,True,,,,True,,,,,,,,,,
The White Tiger,0 days 02:06:00,91,80.0,True,,,,,,,,,,,,,,,,,,
"Yes, God, Yes",0 days 01:18:00,93,65.0,,,,,,,,True,,,,,,,,,,,
