Title,Genres,Runtime,Tomato %,Audience %
Get Low,"['Comedy', 'Drama']",0 days 01:42:00,85,75
Terribly Happy,"['Mystery & thriller', 'Drama']",0 days 01:40:00,88,73
Hubble,['Documentary'],0 days 00:43:00,88,86
Everyone Else,"['Drama', 'Romance']",0 days 01:59:00,88,62
White Material,['Drama'],0 days 01:45:00,86,64
The Square,['Mystery & thriller'],0 days 01:45:00,86,69
Farewell,"['Mystery & thriller', 'Drama']",0 days 01:53:00,86,76
Looking for Eric,"['Comedy', 'Drama']",0 days 01:56:00,85,78
Red Riding Trilogy,,,86,88
Despicable Me,"['Adventure', 'Kids & family']",0 days 01:35:00,81,82
Four Lions,"['Comedy', 'Drama']",0 days 01:42:00,83,80
The Art of the Steal,['Documentary'],0 days 01:41:00,85,87
Harry Potter and the Deathly Hallows: Part 1,"['Fantasy', 'Adventure']",0 days 02:26:00,77,85
Kisses,['Drama'],0 days 01:16:00,85,79
The Other Guys,"['Action', 'Comedy']",0 days 01:47:00,78,60
North Face,"['Adventure', 'Romance']",0 days 02:06:00,84,82
I Am Love,"['Drama', 'Romance']",0 days 01:59:00,81,68
City Island,['Comedy'],0 days 01:43:00,82,79
Cyrus,"['Comedy', 'Drama']",0 days 01:31:00,80,53
Catfish,"['Documentary', 'Mystery & thriller']",0 days 01:28:00,80,70
Kick-Ass,"['Comedy', 'Action']",0 days 01:57:00,76,81
Fair Game,"['Mystery & thriller', 'Drama']",0 days 01:47:00,79,65
Nowhere Boy,"['Biography', 'Drama']",0 days 01:37:00,80,74
Mademoiselle Chambon,['Drama'],0 days 01:41:00,83,68
Made in Dagenham,"['Biography', 'Comedy']",0 days 01:53:00,80,75
Mesrine: Part II - Public Enemy 1,"['Biography', 'Mystery & thriller']",0 days 02:10:00,81,82
The Disappearance of Alice Creed,['Mystery & thriller'],0 days 01:40:00,81,67
Vision: From the Life of Hildegard von Bingen,"['Biography', 'Drama']",0 days 01:50:00,83,71
Casino Jack and the United States of Money,['Documentary'],0 days 02:00:00,82,80
"The Good, the Bad, the Weird","['Action', 'Western']",0 days 02:07:00,82,83
Mesrine: Part II - Public Enemy 1,"['Biography', 'Mystery & thriller']",0 days 02:10:00,81,82
Cairo Time,"['Drama', 'Romance']",0 days 01:28:00,81,62
Tiny Furniture,"['Comedy', 'Drama']",0 days 01:39:00,80,54
Night Catches Us,['Drama'],0 days 01:30:00,81,66
Oceans,['Documentary'],0 days 01:42:00,80,75
Iron Man 2,"['Fantasy', 'Adventure']",0 days 02:04:00,72,71
Mother and Child,['Drama'],0 days 02:06:00,78,76
Greenberg,"['Comedy', 'Drama']",0 days 01:47:00,76,42
Countdown to Zero,['Documentary'],0 days 01:30:00,79,72
Splice,"['Horror', 'Sci-fi']",0 days 01:47:00,75,37
Solitary Man,"['Comedy', 'Drama']",0 days 01:29:00,78,50
