Title,Genres,Runtime,Tomato %,Audience %
Toy Story 3,"['Fantasy', 'Adventure']",0 days 01:42:00,98,90
The Social Network,"['Biography', 'Drama']",0 days 02:00:00,96,87
How to Train Your Dragon,"['Fantasy', 'Kids & family']",0 days 01:38:00,99,91
True Grit,"['Western', 'Drama']",0 days 01:50:00,95,85
The King's Speech,"['History', 'Drama']",0 days 01:58:00,94,92
Inside Job,['Documentary'],0 days 01:48:00,98,91
Waste Land,['Documentary'],0 days 01:38:00,100,90
Last Train Home,['Documentary'],0 days 01:25:00,100,87
A Prophet,"['Crime', 'Drama']",0 days 02:34:00,96,89
127 Hours,"['Biography', 'Drama']",0 days 01:33:00,93,85
Animal Kingdom,"['Crime', 'Drama']",0 days 01:52:00,94,83
A Film Unfinished,['Documentary'],0 days 01:29:00,98,86
Marwencol,['Documentary'],0 days 01:23:00,98,87
The Town,"['Crime', 'Mystery & thriller']",0 days 02:04:00,92,85
Restrepo,"['Biography', 'History']",0 days 01:33:00,96,88
Mother,"['Crime', 'Mystery & thriller']",0 days 02:08:00,96,89
Winter's Bone,['Drama'],0 days 01:39:00,94,76
Exit Through the Gift Shop,['Documentary'],0 days 01:27:00,96,91
The Kids Are All Right,"['Comedy', 'Drama']",0 days 01:44:00,92,74
The Fighter,"['Drama', 'Biography']",0 days 01:56:00,91,89
Inception,"['Mystery & thriller', 'Sci-fi']",0 days 02:28:00,87,91
GasLand,['Documentary'],0 days 01:45:00,98,85
Ajami,['Drama'],0 days 02:00:00,97,81
Another Year,"['Comedy', 'Drama']",0 days 02:09:00,92,74
Nobody Knows About the Persian Cats,['Drama'],0 days 01:46:00,95,76
Tangled,"['Comedy', 'Fantasy']",0 days 01:41:00,89,87
Boxing Gym,['Documentary'],0 days 01:31:00,95,75
Best Worst Movie,['Documentary'],0 days 01:31:00,94,84
Let Me In,['Horror'],0 days 01:55:00,88,76
Fish Tank,['Drama'],0 days 02:04:00,91,79
The Tillman Story,['Documentary'],0 days 01:34:00,93,91
Black Swan,"['Mystery & thriller', 'Drama']",0 days 01:48:00,85,84
Samson & Delilah,"['Drama', 'Romance']",0 days 01:41:00,94,76
Joan Rivers: A Piece of Work,"['Documentary', 'Biography']",0 days 01:24:00,92,82
Carlos,"['Biography', 'Drama']",0 days 02:30:00,93,85
Dogtooth,['Drama'],0 days 01:34:00,93,76
Vincere,"['Biography', 'History']",0 days 02:08:00,92,68
The Illusionist,"['Animation', 'Drama']",0 days 01:30:00,90,79
Lourdes,['Drama'],0 days 01:39:00,93,68
Waiting for Superman,['Documentary'],0 days 01:42:00,90,84
Rabbit Hole,['Drama'],0 days 01:31:00,87,72
The Secret in Their Eyes,"['Crime', 'Mystery & thriller']",0 days 02:07:00,89,93
Lebanon,"['Drama', 'War']",0 days 01:33:00,90,72
Unstoppable,"['Action', 'Mystery & thriller']",0 days 01:34:00,87,72
Rare Exports: A Christmas Tale,"['Horror', 'Adventure']",0 days 01:24:00,90,70
Blue Valentine,"['Drama', 'Romance']",0 days 02:00:00,86,77
The Secret of Kells,"['Fantasy', 'Adventure']",0 days 01:18:00,90,85
Alamar,['Drama'],0 days 01:13:00,91,84
Cropsey,"['Horror', 'Mystery & thriller']",0 days 01:24:00,91,61
Buried,"['Mystery & thriller', 'Drama']",0 days 01:34:00,87,65
Client 9: The Rise and Fall of Eliot Spitzer,['Documentary'],0 days 01:57:00,90,83
Winnebago Man,"['Documentary', 'Biography']",0 days 01:27:00,90,80
My Dog Tulip,"['Animation', 'Drama']",0 days 01:21:00,90,69
The Father of My Children,['Drama'],0 days 01:50:00,90,61
Please Give,"['Comedy', 'Drama']",0 days 01:30:00,87,64
Easy A,['Comedy'],0 days 01:33:00,85,77
Scott Pilgrim vs. the World,"['Action', 'Comedy']",0 days 01:52:00,82,84
Julia's Eyes,"['Mystery & thriller', 'Horror']",0 days 01:52:00,90,68
The Ghost Writer,"['Mystery & thriller', 'Drama']",0 days 02:09:00,84,70
